customerID,fullname_of_husky_owner,email,phone,age_category
70,"Ursa Barron",luctus@aliquameros.net,534894088267,Young_husky_owner
98,"Medge Good",scelerisque.mollis.Phasellus@risus.org,662582603825,Young_husky_owner
21,"Castor Ramsey",ullamcorper@blanditat.org,595842607835,Young_husky_owner
16,"Cairo Tucker",commodo.hendrerit.Donec@eget.net,963941903271,Mature_husky_owner
27,"Sara Sanchez",pede.nec.ante@nonante.net,611366959253,Mature_husky_owner
88,"Cheyenne Salazar",eleifend@ligulaeuenim.edu,542859486408,Mature_husky_owner
13,"Keane Wilcox",dui.Cras@fermentum.ca,375098102057,Senior_husky_owner
48,"Carolyn Hutchinson",fermentum.fermentum.arcu@vehicula.com,126661276915,Senior_husky_owner
94,"Colleen Santana",lobortis@penatibuset.com,291217755240,Senior_husky_owner
12,"Dominique Snyder",vestibulum.Mauris.magna@risusvarius.net,379617413350,Senior_husky_owner
