ordersgroup,customerID,fullname,email,phone,total_orders_fulfilled
"more than 13 orders",12,"Dominique Snyder",vestibulum.Mauris.magna@risusvarius.net,379617413350,20
"more than 13 orders",48,"Carolyn Hutchinson",fermentum.fermentum.arcu@vehicula.com,126661276915,19
"more than 13 orders",58,"Iona Flynn",ipsum.Curabitur.consequat@cursusa.org,784998070081,18
"more than 13 orders",84,"Isabelle Summers",quam@euplacerateget.edu,498022387306,18
"more than 13 orders",21,"Castor Ramsey",ullamcorper@blanditat.org,595842607835,16
"more than 13 orders",13,"Keane Wilcox",dui.Cras@fermentum.ca,375098102057,14
"more than 13 orders",15,"Jane ==Lastname Not Provided==",augue.malesuada.malesuada@in.com,755678525721,14
"more than 13 orders",16,"Cairo Tucker",commodo.hendrerit.Donec@eget.net,963941903271,14
"more than 13 orders",18,"Cailin Flores",non@interdum.com,276869650245,14
"more than 13 orders",27,"Sara Sanchez",pede.nec.ante@nonante.net,611366959253,14
"more than 13 orders",32,"Nevada ==Lastname Not Provided==",Praesent@nisl.co.uk,612573475221,14
"more than 13 orders",49,"Gretchen ==Lastname Not Provided==",sit.amet.orci@velit.co.uk,961143821420,14
"more than 13 orders",70,"Ursa Barron",luctus@aliquameros.net,534894088267,14
"more than 13 orders",75,"Amos Casey",sem@Morbi.com,796351368741,14
"more than 13 orders",94,"Colleen Santana",lobortis@penatibuset.com,291217755240,14
"less than 5 orders",60,"Kermit ==Lastname Not Provided==",nonummy@ipsumDonecsollicitudin.net,949206352647,4
"less than 5 orders",66,"Catherine Mckinney",eros.Proin.ultrices@Etiamligulatortor.ca,771775949977,4
"less than 5 orders",85,"Martina Ray",sodales.nisi@temporlorem.co.uk,391566353999,4
"less than 5 orders",41,"Carolyn Carroll",sodales.at@SuspendissesagittisNullam.edu,127216887720,3
"less than 5 orders",17,"Amos ==Lastname Not Provided==",magna.Praesent.interdum@tincidunt.net,666202622689,2
"less than 5 orders",29,"Kylee Odom",eu.ligula@aliquam.edu,128353049465,2
